rel_vol_TL,dice_TL,rel_vol_TR,dice_TR,rel_vol_FL,dice_FL,rel_vol_FR,dice_FR,rel_vol_CL,dice_CL,rel_vol_CR,dice_CR,rel_vol_OP,dice_OP,rel_vol_AP,dice_AP
1.9,0.761,2,0.802,27.1,0.413,27,0.849,25.1,0.837,25.6,0.84,12.2,0.812,37.4,0.942
1.4,0.698,1.3,0.752,18.6,0.586,18.4,0.823,14.6,0.751,15.1,0.735,11.9,0.766,37.6,0.953
6.4,0.838,6.6,0.83,1.9,0.033,2.1,0.83,14.3,0.804,14.4,0.754,11.8,0.85,13.1,0.915
3.4,0.774,3.6,0.755,3.5,0.03,3.6,0.761,7.3,0.823,7.4,0.835,11.4,0.809,11,0.858
4.6,0.762,4.3,0.792,9.9,0.518,9.5,0.859,0.6,0.62,0.6,0,8.3,0.801,0.6,0.665
12.2,0.85,12.4,0.882,29,0.426,29.5,0.85,8.3,0.81,8.2,0.848,7.8,0.822,0.2,0
16.5,0.831,16.8,0.881,3.7,0.127,3.5,0.757,12.6,0.87,12.5,0.854,12,0.865,0.2,0
4.5,0.72,4.3,0.774,2.2,0,2.4,0.713,2.3,0.706,2.4,0.68,12.2,0.862,NA,NA
44,0.853,43.8,0.856,2.7,0.079,2.7,0.744,14.8,0.895,13.8,0.883,3.4,0.843,NA,NA
0.5,0.502,0.6,0.626,0.7,0.001,0.7,0.704,0,0,NA,NA,3.5,0.801,NA,NA
4.6,0.796,4.4,0.778,0.2,0,0.2,0,NA,NA,NA,NA,2.8,0.815,NA,NA
NA,NA,NA,NA,0.6,0,0.4,0,NA,NA,NA,NA,2.7,0.803,NA,NA
