,rel_vol_AP,dice_AP,rel_vol_FL,dice_FL,rel_vol_CR,dice_CR,rel_vol_FR,dice_FR
,37.4,0.956,27.1,0.847,25.6,0.839,27,0.846
,37.6,0.954,18.6,0.79,15.1,0.777,18.4,0.815
,13.1,0.923,1.9,0.771,14.4,0.774,2.1,0.773
,11,0.817,3.5,0.688,7.4,0.817,3.6,0.737
,0.6,0.694,9.9,0.846,0.6,0.522,9.5,0.847
,0.2,0.665,29,0.849,8.2,0.84,29.5,0.842
,0.2,0.63,3.7,0.695,12.5,0.846,3.5,0.727
,NA,NA,2.2,0.596,2.4,0.741,2.4,0.691
,NA,NA,2.7,0.707,13.8,0.878,2.7,0.743
,NA,NA,0.7,0.638,NA,NA,0.7,0.606
,NA,NA,0.2,0.406,NA,NA,0.2,0.397
,NA,NA,0.6,0.61,NA,NA,0.4,0.505
